"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","P3dB (Typ) (W) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","应用","输出功率 (Typ) (W) (P1dB)","增益 (Typ) (dB) ","互调失真 - IMD (Typ) (dBc) ","互调失真 - IM3 (Typ) (dBc) ","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","替代部件"
"FSL","射频---射频移动通信基础架构","MRF6S18060N","MRF6S18060NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6S18060N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1800-2000-mhz-60-w-26-v-gsm-gsm-edge-lateral-n-channel-rf-power-mosfets:MRF6S18060N?&fpsp=1&tab=Documentation_Tab#MRF6S18060NR1","GSM/GSM EDGE Lateral N-Channel RF Power MOSFET, 1800-2000 MHz, 60 W, 26 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6S18060NR1');trackRFAnalytics('MRF6S18060NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1800","2000","26","47.8","60","60 @ CW","1-Tone","15 @ 1990","50","0.81","I/O","AB","LDMOS","4","-","High Pwr RF SMT 5","5","PRODUCT MATURITY/SATURATION(4)","-","1800 to 2000","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF6S19140H","MRF6S19140HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6S19140H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1930-1990-mhz-29-w-avg.-28-v-2-x-n-cdma-lateral-n-channel-rf-power-mosfets:MRF6S19140H?&fpsp=1&tab=Documentation_Tab#MRF6S19140HSR3","2 x N-CDMA Lateral N-Channel RF Power MOSFET, 1930-1990 MHz, 29 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6S19140HSR3');trackRFAnalytics('MRF6S19140HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1930","1990","28","51.5","140","29 @ AVG","N-CDMA","16 @ 1990","27.5","0.38","I/O","AB","LDMOS","4","-","Air Cavity 2","2","PRODUCT MATURITY/SATURATION(4)","-","1930 to 1990","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-37","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF7S19170H","MRF7S19170HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF7S19170H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1930-1990-mhz-50-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF7S19170H?&fpsp=1&tab=Documentation_Tab#MRF7S19170HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1930-1990 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF7S19170HSR3');trackRFAnalytics('MRF7S19170HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1930","1990","28","52.3","170","50 @ AVG","W-CDMA","17.2 @ 1990","32","0.31","I/O","AB","LDMOS","4","-","Air Cavity 2","2","PRODUCT MATURITY/SATURATION(4)","-","1930 to 1990","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF7P20040H","MRF7P20040HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF7P20040H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2010-2025-mhz-10-w-avg.-32-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF7P20040H?&fpsp=1&tab=Documentation_Tab#MRF7P20040HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 2010-2025 MHz, 10 W Avg., 32 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF7P20040HSR3');trackRFAnalytics('MRF7P20040HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2010","2025","32","45.4","35","10 @ AVG","W-CDMA","18.2 @ 2025","42.6","2.11","I/O","AB, C","LDMOS","4","-","Air Cavity 5","5","PRODUCT MATURITY/SATURATION(4)","50","2010 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW6IC1940N","MW6IC1940NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW6IC1940N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1920-2000-mhz-40-w-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW6IC1940N?&fpsp=1&tab=Documentation_Tab#MW6IC1940NBR1","2 x W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1920-2000 MHz, 40 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW6IC1940NBR1');trackRFAnalytics('MW6IC1940NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1920","2000","28","46","40","4.5 @ AVG","W-CDMA","28.5 @ 1920","13.5","1.2","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","1920 to 2000","-","10-YEARS APPLICATION LIFE","-","W-CDMA","40","28.5","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF6S20010N","MRF6S20010GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6S20010N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1600-2200-mhz-10-w-28-v-gsm-edge-n-cdma-w-cdma-rf-power-ldmos-transistors:MRF6S20010N?&fpsp=1&tab=Documentation_Tab#MRF6S20010GNR1","GSM/GSM EDGE, Single N-CDMA, 2 x W-CDMA Lateral N-Channel RF Power MOSFET, 1600-2200 MHz, 10 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6S20010GNR1');trackRFAnalytics('MRF6S20010GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1600","2200","28","40","10","1 @ AVG","W-CDMA","15.5 @ 2170","15","2.5","Input","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","1600 to 2200","-","10-YEARS APPLICATION LIFE","-","-","-","-","-47","-","45","-","-"
"FSL","射频---射频移动通信基础架构","MRF6S20010N","MRF6S20010NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6S20010N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1600-2200-mhz-10-w-28-v-gsm-edge-n-cdma-w-cdma-rf-power-ldmos-transistors:MRF6S20010N?&fpsp=1&tab=Documentation_Tab#MRF6S20010NR1","GSM/GSM EDGE, Single N-CDMA, 2 x W-CDMA Lateral N-Channel RF Power MOSFET, 1600-2200 MHz, 10 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6S20010NR1');trackRFAnalytics('MRF6S20010NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1600","2200","28","40","10","1 @ AVG","W-CDMA","15.5 @ 2170","15","2.5","Input","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","1600 to 2200","-","10-YEARS APPLICATION LIFE","-","-","-","-","-47","-","45","-","-"
"FSL","射频---射频移动通信基础架构","MD8IC970N","MD8IC970GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD8IC970N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/850-940-mhz-35-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD8IC970N?&fpsp=1&tab=Documentation_Tab#MD8IC970GNR1","RF LDMOS Wideband Integrated Power Amplifier, 850-940 MHz, 35 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD8IC970GNR1');trackRFAnalytics('MD8IC970GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","850","940","28","49","79","35 @ AVG","2-Tone","32.6 @ 940","42.1","0.6","I/O","AB","LDMOS","3","-","High Pwr RF SMT 17","17","PRODUCT STABLE GROWTH/MATURITY(3)","-","850 to 940","-","10-YEARS APPLICATION LIFE","-","-","79","32.6","-31.3","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD8IC970N","MD8IC970NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD8IC970N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/850-940-mhz-35-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD8IC970N?&fpsp=1&tab=Documentation_Tab#MD8IC970NR1","RF LDMOS Wideband Integrated Power Amplifier, 850-940 MHz, 35 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD8IC970NR1');trackRFAnalytics('MD8IC970NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","850","940","28","49","79","35 @ AVG","2-Tone","32.6 @ 940","42.1","0.6","I/O","AB","LDMOS","3","-","High Pwr RF SMT 16","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","850 to 940","-","10-YEARS APPLICATION LIFE","-","-","79","32.6","-31.3","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD8IC925N","MD8IC925GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD8IC925N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-960-mhz-2.5-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD8IC925N?&fpsp=1&tab=Documentation_Tab#MD8IC925GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 728-960 MHz, 2.5 W Avg., 28 V","-","728","960","28","44.1","26","2.5 @ AVG","W-CDMA","36.2 @ 940","17.4","5.4","I/O","AB","LDMOS","2","-","High Pwr RF SMT 15","15","PRODUCT RAPID GROWTH(2)","31","728 to 960","-","10-YEARS APPLICATION LIFE","-","-","26","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD8IC925N","MD8IC925NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD8IC925N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-960-mhz-2.5-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD8IC925N?&fpsp=1&tab=Documentation_Tab#MD8IC925NR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 728-960 MHz, 2.5 W Avg., 28 V","-","728","960","28","44.1","26","2.5 @ AVG","W-CDMA","36.2 @ 940","17.4","5.4","I/O","AB","LDMOS","2","-","High Pwr RF SMT 15","15","PRODUCT RAPID GROWTH(2)","31","728 to 960","-","10-YEARS APPLICATION LIFE","-","-","26","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2755N","MD7IC2755GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2755N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/3400-3800-mhz/2500-2700-mhz-10-w-avg.-28-v-wimax-rf-ldmos-wideband-integrated-amplifiers:MD7IC2755N?&fpsp=1&tab=Documentation_Tab#MD7IC2755GNR1","WiMAX RF LDMOS Wideband Integrated Power Amplifier, 2500-2700 MHz, 10 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2755GNR1');trackRFAnalytics('MD7IC2755GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2500","2700","28","44.8","30","10 @ AVG","WiMAX","25 @ 2700","25","1.8","I/O","AB, C","LDMOS","4","-","High Pwr RF SMT 15","15","PRODUCT MATURITY/SATURATION(4)","-","2500 to 2700","-","10-YEARS APPLICATION LIFE","-","WiMAX","30","25","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2755N","MD7IC2755NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2755N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/3400-3800-mhz/2500-2700-mhz-10-w-avg.-28-v-wimax-rf-ldmos-wideband-integrated-amplifiers:MD7IC2755N?&fpsp=1&tab=Documentation_Tab#MD7IC2755NR1","WiMAX RF LDMOS Wideband Integrated Power Amplifier, 2500-2700 MHz, 10 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2755NR1');trackRFAnalytics('MD7IC2755NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2500","2700","28","44.8","30","10 @ AVG","WiMAX","25 @ 2700","25","1.8","I/O","AB, C","LDMOS","4","-","High Pwr RF SMT 15","15","PRODUCT MATURITY/SATURATION(4)","-","2500 to 2700","-","10-YEARS APPLICATION LIFE","-","WiMAX","30","25","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF5S9080N","MRF5S9080NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF5S9080N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/869-960-mhz-80-w-26-v-gsm-gsm-edge-lateral-n-channel-rf-power-mosfets:MRF5S9080N?&fpsp=1&tab=Documentation_Tab#MRF5S9080NBR1","GSM/GSM EDGE Lateral N-Channel RF Power MOSFET, 869-960 MHz, 80 W, 26 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF5S9080NBR1');trackRFAnalytics('MRF5S9080NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","869","960","26","49","80","80 @ CW","1-Tone","18 @ 960","59","0.5","Input","AB","LDMOS","4","-","High Pwr RF SMT 5","5","PRODUCT MATURITY/SATURATION(4)","-","869 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2251N","MD7IC2251GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2251N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-12-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC2251N?&fpsp=1&tab=Documentation_Tab#MD7IC2251GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 12 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2251GNR1');trackRFAnalytics('MD7IC2251GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","46","40","12 @ AVG","W-CDMA","29 @ 2140","37.9","1.5","I/O","AB, C","LDMOS","2","-","High Pwr RF SMT 15","15","PRODUCT RAPID GROWTH(2)","58","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","40","28.2","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2251N","MD7IC2251NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2251N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-12-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC2251N?&fpsp=1&tab=Documentation_Tab#MD7IC2251NR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 12 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2251NR1');trackRFAnalytics('MD7IC2251NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","46","40","12 @ AVG","W-CDMA","29 @ 2140","37.9","1.5","I/O","AB, C","LDMOS","2","-","High Pwr RF SMT 15","15","PRODUCT RAPID GROWTH(2)","58","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","40","28.2","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC1812N","MD7IC1812GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC1812N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-2170-mhz-1.3-w-avg.-28-v-single-w-cdma-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC1812N?&fpsp=1&tab=Documentation_Tab#MD7IC1812GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1805-2170 MHz, 1.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC1812GNR1');trackRFAnalytics('MD7IC1812GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2170","28","40.8","12","1.3 @ AVG","W-CDMA","31.5 @ 1880","14","2.9","I/O","AB","LDMOS","2","-","High Pwr RF SMT 15","15","PRODUCT RAPID GROWTH(2)","13","1805 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC1812N","MD7IC1812NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC1812N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-2170-mhz-1.3-w-avg.-28-v-single-w-cdma-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC1812N?&fpsp=1&tab=Documentation_Tab#MD7IC1812NR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1805-2170 MHz, 1.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC1812NR1');trackRFAnalytics('MD7IC1812NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2170","28","40.8","12","1.3 @ AVG","W-CDMA","31.5 @ 1880","14","2.9","I/O","AB","LDMOS","2","-","High Pwr RF SMT 15","15","PRODUCT RAPID GROWTH(2)","13","1805 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT27S006N","AFT27S006NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT27S006N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/100-3600-mhz-28.8-dbm-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT27S006N?&fpsp=1&tab=Documentation_Tab#AFT27S006NT1","Airfast RF Power LDMOS Transistor, 728-2700 MHz, 28.8 dBm Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT27S006NT1');trackRFAnalytics('AFT27S006NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","100","3600","28","37.8","6","0.76 @ AVG","W-CDMA","22.5 @ 2170","20.2","3.4","Unmatched","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","100 to 3600","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFV09P350-04N","AFV09P350-04GNR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFV09P350-04N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/720-960-mhz-100-w-avg.-48-v-airfast-rf-power-ldmos-transistors:AFV09P350-04N?&fpsp=1&tab=Documentation_Tab#AFV09P350-04GNR3","Airfast RF Power LDMOS Transistor, 720-960 MHz, 100 W AVG., 48 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFV09P350-04GNR3');trackRFAnalytics('AFV09P350-04GNR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","720","960","48","53","200","100 @ AVG","W-CDMA","19.5 @ 920","48.5","0.45","Input","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","500","720 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFV09P350-04N","AFV09P350-04NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFV09P350-04N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/720-960-mhz-100-w-avg.-48-v-airfast-rf-power-ldmos-transistors:AFV09P350-04N?&fpsp=1&tab=Documentation_Tab#AFV09P350-04NR3","Airfast RF Power LDMOS Transistor, 720-960 MHz, 100 W AVG., 48 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFV09P350-04NR3');trackRFAnalytics('AFV09P350-04NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","720","960","48","53","200","100 @ AVG","W-CDMA","19.5 @ 920","48.5","0.45","Input","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","500","720 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT27S010N","AFT27S010NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT27S010N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/100-3600-mhz-1.26-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT27S010N?&fpsp=1&tab=Documentation_Tab#AFT27S010NT1","Airfast RF Power LDMOS Transistor, 728-2700 MHz, 1.26 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT27S010NT1');trackRFAnalytics('AFT27S010NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","100","3600","28","40","10","1.26 @ AVG","W-CDMA","21.7 @ 2170","22.6","3.5","Unmatched","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","100 to 3600","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2050N","MD7IC2050GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2050N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-10-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC2050N?&fpsp=1&tab=Documentation_Tab#MD7IC2050GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1880-2100 MHz, 10 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2050GNR1');trackRFAnalytics('MD7IC2050GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","47.8","60","10 @ AVG","W-CDMA","30.5 @ 2025","34.7","1.9","I/O","AB, C","LDMOS","4","-","High Pwr RF SMT 15","15","PRODUCT MATURITY/SATURATION(4)","74","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","W-CDMA","60","30.5","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2050N","MD7IC2050NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2050N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-10-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC2050N?&fpsp=1&tab=Documentation_Tab#MD7IC2050NR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1880-2100 MHz, 10 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2050NR1');trackRFAnalytics('MD7IC2050NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","47.8","60","10 @ AVG","W-CDMA","30.5 @ 2025","34.7","1.9","I/O","AB, C","LDMOS","4","-","High Pwr RF SMT 15","15","PRODUCT MATURITY/SATURATION(4)","74","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","W-CDMA","60","30.5","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT26HW050S","AFT26H050W26SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26HW050S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-9-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT26HW050S?&fpsp=1&tab=Documentation_Tab#AFT26H050W26SR3","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 9 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26H050W26SR3');trackRFAnalytics('AFT26H050W26SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","46.2","42","9 @ AVG","W-CDMA","14.2 @ 2690","47.1","0.75","I/O","AB","LDMOS","2","-","Air Cavity 9","9","PRODUCT RAPID GROWTH(2)","54","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
